MAVIENCHUC,MACHUCVU,MACOQUAN,MANGHENGHIEP,THOIGIANGIUCHUCVU,THOIGIANKETTHUCCHUCVU
VCKT000001,CV007,CQ006,NN006,2010-10-23 0:00:00
VCHR000001,CV007,CQ006,NN004,2015-03-16 0:00:00
VCTT000001,CV007,CQ006,NN004,2010-08-18 0:00:00
VC00000001,CV003,CQ006,NN002,1997-02-26 0:00:00
VC00000002,CV004,CQ006,NN002,1999-02-26 0:00:00
VC00000003,CV007,CQ006,NN001,2015-06-07 0:00:00
VC00000004,CV007,CQ006,NN001,2010-10-23 0:00:00
VC00000005,CV007,CQ006,NN001,2025-03-24 0:00:00
VC00000006,CV005,CQ006,NN002,1997-07-09 0:00:00
VC00000007,CV001,CQ006,NN004,1999-08-14 0:00:00
VC00000008,CV002,CQ006,NN004,2014-06-29 0:00:00
